X,Y,OBJECTID,Facility_ID,FacilityName,StreetNo,StreetName,StreetType,SuburbTown,Postcode,Latitude,Longitude,FaciltySportPlayedID,SportsPlayed,NumberFieldCourts,FieldSurfaceType,FacilityAge,FacilityCondition,FacilityUpgradeAge,Changerooms,LGA
144.726537,-37.851221,9045,WYNDHA8535,Wyndham Waters,,Sayers,Road,TRUGANINA,3029,-37.851221,144.726537,26697,Tennis (Outdoor),2,,,,,,WYNDHAM
144.49856,-37.960711,3205,GEELON5332,Granite Road Circuit,,You Yangs,Road,LITTLE RIVER,,-37.960711,144.49856,27579,Cycling,1,Road,,,,,WYNDHAM
144.721688,-37.822483,3952,HOBSON11346,Truganina Club Grounds,,Woods,Road,TRUGANINA,3029,-37.822483,144.721688,26854,Equestrian,,,,,,,WYNDHAM
144.680496,-37.875501,8907,WYNDHA8491,Aeromax Fitness Health Club,,Derrimut,Road,WERRIBEE,3030,-37.875501,144.680496,26591,Aerobics,,,,,,,WYNDHAM
144.70575,-37.849675,8908,WYNDHA8496,Contours Tarneit,,Sayers,Road,HOPPERS CROSSING,3029,-37.849675,144.70575,26604,Aerobics,,,,,,,WYNDHAM
144.673475,-37.894273,8909,WYNDHA8497,Curves For Women,87-89,Railway,Avenue,WERRIBEE,3030,-37.894273,144.673475,26606,Aerobics,,,,,,,WYNDHAM
144.702,-37.847983,8910,WYNDHA8499,EFM Health Clubs Tarneit,35,Thomas Carr,Drive,TARNEIT,3029,-37.847983,144.702,26610,Aerobics,,,,,,,WYNDHAM
144.735125,-37.884,8912,WYNDHA8501,Fenix Fitness Club Point Cook,2,Main,Street,POINT COOK,3030,-37.884,144.735125,26615,Aerobics,,,,,,,WYNDHAM
144.661842,-37.898392,8913,WYNDHA8509,In-Balance Fitness Werribee,3,Manly,Street,WERRIBEE,3030,-37.898392,144.661842,26631,Aerobics,,,,,,,WYNDHAM
144.61474,-37.876367,8914,WYNDHA8513,Manor Lake Fitness,,Manor Lakes,Boulevard,WYNDHAM VALE,3024,-37.876367,144.61474,26642,Aerobics,,,,,,,WYNDHAM
144.72919,-37.871074,8915,WYNDHA8515,My Gym Hoppers Crossing,,Graham,Court,HOPPERS CROSSING,3029,-37.871074,144.72919,26650,Aerobics,,,,,,,WYNDHAM
144.717075,-37.872529,8916,WYNDHA8517,Platinum Health Club Hoppers Crossing,1,Motto,Court,HOPPERS CROSSING,3029,-37.872529,144.717075,26654,Aerobics,,,,,,,WYNDHAM
144.7465,-37.871958,8917,WYNDHA8520,Re-Creation Health Club Point Cook,22-30,Wallave,Avenue,POINT COOK,3030,-37.871958,144.7465,26663,Aerobics,,,,,,,WYNDHAM
144.739994,-37.884435,8922,WYNDHA8498,Dunnings Road Reserve,,Dunnings,Road,POINT COOK,3030,-37.884435,144.739994,26608,Australian Rules Football,1,Grass,6 - 10 Years,3. Average,6 - 10 Years,"Female, Male, Umpire/Officials",WYNDHAM
144.677344,-37.836511,8924,WYNDHA10999,Goddard Street Reserve,,Goddard,Street,TARNEIT,3029,-37.836511,144.677344,26568,Australian Rules Football,2,Grass,0 - 5 Years,5. Very Good,,"Female, Male, Umpire/Officials, Unisex",WYNDHAM
144.674132,-37.885029,8925,WYNDHA8506,Heathdale Glen Orden Reserve,,Kookaburra,Avenue,WERRIBEE,3030,-37.885029,144.674132,26624,Australian Rules Football,2,Grass,26 - 50 Years,4. Good,< 1 Years,"Umpire/Officials, Unisex",WYNDHAM
144.694398,-37.86262,8926,WYNDHA8507,Hogans Road Reserve,,Hogans,Road,HOPPERS CROSSING,3029,-37.86262,144.694398,26627,Australian Rules Football,2,Grass,26 - 50 Years,3. Average,Upgrade in progress,"Umpire/Officials, Unisex",WYNDHAM
144.60441,-37.875561,8927,WYNDHA11001,Howqua Way Reserve,,Howqua,Way,WYNDHAM VALE,3024,-37.875561,144.60441,26572,Australian Rules Football,1,Grass,0 - 5 Years,5. Very Good,,"Female, Male, Umpire/Officials, Unisex",WYNDHAM
144.737757,-37.907501,8930,WYNDHA11002,Prudence Parade Reserve,,Prudence,Parade,POINT COOK,3030,-37.907501,144.737757,26574,Australian Rules Football,1,Grass,0 - 5 Years,5. Very Good,,"Female, Male, Umpire/Officials, Unisex",WYNDHAM
